Title,ReleaseDate,ProductionCompany
John Henry and the Inky-Poo,1946-09-06,Paramount Pictures
Musical Moments from Chopin,1946-02-25,Walter Lantz Productions
Musical Moments from Chopin,1946-02-25,Universal Pictures
Squatter's Rights,1946-06-07,Walt Disney Productions
Squatter's Rights,1946-06-07,RKO Radio Pictures
Walky Talky Hawky,1946-08-31,Warner Bros. Cartoons
Walky Talky Hawky,1946-08-31,Warner Bros. Pictures
Humoresque,1946-12-25,Warner Bros.
Blue Skies,1946-10-17,Paramount Pictures
Centennial Summer,1946-08-01,20th Century Fox
The Harvey Girls,1946-01-18,Metro-Goldwyn-Mayer
The Harvey Girls,1946-01-18,Loew's Inc.
Night and Day,1946-07-26,Warner Bros.
The Dolly Sisters,1945-11-14,20th Century Fox
Canyon Passage,1946-07-15,Universal Pictures
Three Little Girls in Blue,1946-09-03,20th Century-Fox
Kitty,1945-03-31,Paramount Pictures
Caesar and Cleopatra,1945-12-11,Gabriel Pascal Productions
Caesar and Cleopatra,1945-12-11,Eagle-Lion Films
Caesar and Cleopatra,1945-12-11,United Artists
Blithe Spirit,1945-05-14,Two Cities Films
Blithe Spirit,1945-05-14,General Film Distributors
A Stolen Life,1946-07-06,Warner Bros.
Gentleman's Agreement,1947-11-11,20th Century Fox
The Bishop's Wife,1947-11-25,Samuel Goldwyn Productions
The Bishop's Wife,1947-11-25,RKO Radio Pictures
Crossfire,1947-07-22,RKO Radio Pictures
Great Expectations,1946-12-16,Cineguild
Great Expectations,1946-12-16,General Film Distributors Ltd.
Miracle on 34th Street,1947-06-11,20th Century-Fox
A Double Life,1947-12-25,Universal Pictures
Body and Soul,1947-11-09,Enterprise Productions
Body and Soul,1947-11-09,United Artists
Body and Soul,1947-11-09,Metro-Goldwyn-Mayer
Life with Father,1947-09-13,Warner Bros.
Mourning Becomes Electra,1947-11-19,RKO Radio Pictures
The Farmer's Daughter,1947-03-25,RKO Radio Pictures
Possessed,1947-07-26,Warner Bros.
"Smash-Up, the Story of a Woman",1947-03-01,Universal-International Pictures
Ride the Pink Horse,1947-10-08,Universal Pictures
Kiss of Death,1947-08-13,20th Century-Fox
The Paradine Case,1947-12-29,Vanguard Films
The Paradine Case,1947-12-29,Selznick Releasing Organization
The Egg and I,1947-03-21,Universal Pictures
The Bachelor and the Bobby-Soxer,1947-07-24,RKO Radio Pictures
Monsieur Verdoux,1947-04-11,United Artists
Shoeshine,1946-04-27,ENIC
Boomerang!,1947-03-05,20th Century Fox
La Cage aux rossignols,1945-09-06,Gaumont Distribution
It Happened on 5th Avenue,1947-04-19,Allied Artists
Design for Death,1947-01-01,RKO Radio Pictures
Journey into Medicine,1947-01-01,United States Information Service
Journey into Medicine,1947-01-01,U.S. Department of State
First Steps,1947-01-01,National Film Board of Canada
Passport to Nowhere,1947-01-01,RKO Pictures
School in the Mailbox,1947-01-01,Australian National Film Board
"Goodbye, Miss Turlock",1948-01-24,MGM
So You Want to Be in Pictures,1947-06-07,Warner Bros.
Tweetie Pie,1947-05-03,Warner Bros. Cartoons
Tweetie Pie,1947-05-03,Warner Bros. Pictures
Chip an' Dale,1947-11-28,Walt Disney Productions
Chip an' Dale,1947-11-28,RKO Radio Pictures
Pluto's Blue Note,1947-12-26,Walt Disney Productions
Pluto's Blue Note,1947-12-26,RKO Radio Pictures
Tubby the Tuba,1947-07-11,Paramount Pictures
Captain from Castile,1947-12-25,Twentieth Century-Fox Film Corporation
Forever Amber,1947-10-22,20th Century Fox
Mother Wore Tights,1947-08-20,Twentieth Century Fox Film Corporation
Fiesta,1947-06-12,Metro-Goldwyn-Mayer
Fiesta,1947-06-12,"Loew's, Inc."
My Wild Irish Rose,1947-12-24,Warner Bros.
Road to Rio,1947-12-25,Paramount Pictures
Song of the South,1946-11-12,Walt Disney Productions
Song of the South,1946-11-12,RKO Radio Pictures
"The Time, The Place And The Girl",1946-12-26,Warner Bros.
The Perils of Pauline,1947-07-04,Paramount Pictures
Good News,1947-12-26,Metro-Goldwyn-Mayer
Good News,1947-12-26,Loew's Inc.
Green Dolphin Street,1947-10-15,Metro-Goldwyn-Mayer
Green Dolphin Street,1947-10-15,Loew's Inc.
T-Men,1947-12-15,Eagle-Lion Films
The Foxes of Harrow,1947-09-24,20th Century Fox
Black Narcissus,1947-04-24,The Archers
Black Narcissus,1947-04-24,General Film Distributors
The Ghost and Mrs. Muir,1947-06-26,20th Century Fox
Odd Man Out,1947-01-31,Two Cities Films
Odd Man Out,1947-01-31,General Film Distributors
Unconquered,1947-10-03,Paramount Pictures
Hamlet,1948-05-04,Two Cities
Hamlet,1948-05-04,Rank Film Distributors Ltd.
Johnny Belinda,1948-09-14,Warner Bros.
The Red Shoes,1948-09-06,The Archers
The Red Shoes,1948-09-06,General Film Distributors
The Snake Pit,1948-11-13,20th Century Fox
The Treasure of the Sierra Madre,1948-01-14,Warner Bros.-First National
The Search,1948-03-23,Metro-Goldwyn-Mayer
The Search,1948-03-23,"Loew's, Inc."
When My Baby Smiles at Me,1948-11-05,20th Century Fox
Sitting Pretty,1948-03-10,20th Century Fox
Joan of Arc,1948-11-11,RKO Radio Pictures
I Remember Mama,1948-03-09,RKO Radio Pictures
"Sorry, Wrong Number",1948-09-01,Paramount Pictures
The Luck of the Irish,1948-09-15,20th Century Fox
Key Largo,1948-07-16,Warner Bros.
Louisiana Story,1948-09-28,Standard Oil Co. of New Jersey
Louisiana Story,1948-09-28,Lopert Films
The Naked City,1948-03-04,Universal-International
Red River,1948-08-26,United Artists
A Foreign Affair,1948-06-30,Paramount Pictures
The Secret Land,1948-10-22,Metro-Goldwyn-Mayer
The Quiet One,1948-01-01,Arthur Mayer
The Quiet One,1948-01-01,Joseph Burstyn
Toward Independence,1948-01-01,United States Army Signal Corps
Toward Independence,1948-01-01,U.S Army
Heart to Heart,1949-01-01,Metro-Goldwyn-Mayer
Operation Vittles,1948-01-01,United States Air Force
Seal Island,1948-12-21,Walt Disney Productions
Seal Island,1948-12-21,RKO Radio Pictures
The Little Orphan,1949-04-30,MGM Cartoons
The Little Orphan,1949-04-30,Metro-Goldwyn-Mayer
Mickey and The Seal,1948-12-03,Walt Disney Productions
Mickey and The Seal,1948-12-03,RKO Radio Pictures
Mouse Wreckers,1949-04-23,Warner Bros. Cartoons
Mouse Wreckers,1949-04-23,Warner Bros. Pictures
Mouse Wreckers,1949-04-23,The Vitaphone Corporation
Tea for Two Hundred,1948-12-24,Walt Disney Productions
Tea for Two Hundred,1948-12-24,RKO Radio Pictures
Easter Parade,1948-06-30,Metro-Goldwyn-Mayer
Easter Parade,1948-06-30,"Loew's, Inc."
The Emperor Waltz,1948-05-26,Paramount Pictures
The Pirate,1948-05-20,Metro-Goldwyn-Mayer
The Pirate,1948-05-20,"Loew's, Inc."
Romance on the High Seas,1948-06-26,Michael Curtiz Productions
Romance on the High Seas,1948-06-26,Warner Bros. Pictures
The Paleface,1948-12-24,Paramount Pictures
Casbah,1948-04-01,Universal Pictures
That Lady in Ermine,1948-08-24,20th Century Fox
Wet Blanket Policy,1948-08-27,Walter Lantz Productions
Wet Blanket Policy,1948-08-27,United Artists
Moonrise,1948-10-01,Republic Pictures
Portrait of Jennie,1948-12-25,Vanguard Films
Portrait of Jennie,1948-12-25,Selznick Releasing Organization
Green Grass of Wyoming,1948-06-03,20th Century Fox
The Loves of Carmen,1948-08-23,Columbia Pictures
The Three Musketeers,1948-11-26,Metro-Goldwyn-Mayer
The Three Musketeers,1948-11-26,"Loew's, Inc."
B.F.'s Daughter,1948-04-02,Metro-Goldwyn-Mayer
Deep Waters,1948-07-22,20th Century Fox
All the King's Men,1949-11-08,Columbia Pictures
Battleground,1949-11-09,Metro-Goldwyn-Mayer
The Heiress,1949-10-06,Paramount Pictures
A Letter to Three Wives,1949-01-20,20th Century Fox
Twelve O'Clock High,1949-12-21,Twentieth Century-Fox Film Corporation
The Fallen Idol,1948-09-30,London Film Productions
The Fallen Idol,1948-09-30,British Lion Films
Champion,1949-05-20,United Artists
The Hasty Heart,1949-09-13,Associated British-Path?
The Hasty Heart,1949-09-13,Warner Bros.
Sands of Iwo Jima,1949-12-14,Republic Pictures
Pinky,1949-09-29,20th Century-Fox
My Foolish Heart,1949-12-25,Samuel Goldwyn Productions
My Foolish Heart,1949-12-25,RKO Radio Pictures
"Edward, My Son",1949-03-01,MGM-British
"Edward, My Son",1949-03-01,Metro-Goldwyn-Mayer
Come to the Stable,1949-07-27,20th Century Fox
Bicycle Thieves,1948-11-24,Ente Nazionale Industrie Cinematografiche
Jolson Sings Again,1949-08-10,Columbia Pictures
Paisan,1946-12-10,Metro-Goldwyn-Mayer
Passport to Pimlico,1949-04-28,Ealing Studios
Passport to Pimlico,1949-04-28,General Film Distributors
The Stratton Story,1949-05-12,Metro-Goldwyn-Mayer
It Happens Every Spring,1949-05-26,20th Century Fox
White Heat,1949-09-02,Warner Bros. Pictures
Daybreak in Udi,1949-08-15,Crown Film Unit
Daybreak in Udi,1949-08-15,Colonial Office
Kenji Comes Home,1949-01-01,Protestant Film Commission
A Chance to Live,1949-12-23,Time Inc.
A Chance to Live,1949-12-23,Twentieth Century-Fox
So Much for So Little,1949-01-01,Warner Bros. Cartoons
So Much for So Little,1949-01-01,United States Public Health Service
So Much for So Little,1949-01-01,Warner Bros. Pictures Inc.
The Rising Tide,1949-01-01,National Film Board of Canada
Aquatic House Party,1950-03-31,Paramount Pictures
Roller Derby Girl,1949-07-10,Paramount Pictures
Joe McDoakes,1942-11-14,Warner Bros. Pictures
Joe McDoakes,1942-11-14,The Vitaphone Corporation
For Scent-imental Reasons,1949-11-12,Warner Bros. Cartoons
For Scent-imental Reasons,1949-11-12,Warner Bros. Pictures
For Scent-imental Reasons,1949-11-12,The Vitaphone Corporation
Toy Tinkers,1949-12-16,Walt Disney Productions
Toy Tinkers,1949-12-16,RKO Radio Pictures
Canary Row,1949-11-02,Warner Bros. Cartoons
Canary Row,1949-11-02,Warner Bros. Pictures
Canary Row,1949-11-02,The Vitaphone Corporation
Beyond the Forest,1949-10-21,Warner Bros.
On the Town,1949-12-08,Metro-Goldwyn-Mayer
On the Town,1949-12-08,Loew's Inc.
Look for the Silver Lining,1949-06-23,Warner Bros.
Neptune's Daughter,1949-06-09,Metro?Goldwyn?Mayer
Neptune's Daughter,1949-06-09,Loew's Inc.
It's a Great Feeling,1949-08-20,Warner Bros.
So Dear to My Heart,1948-11-29,Walt Disney Productions
So Dear to My Heart,1948-11-29,RKO Radio Pictures
"Once More, My Darling",1949-08-10,Universal-International
Madame Bovary,1949-08-25,Metro-Goldwyn-Mayer
Little Women,1949-03-10,Metro-Goldwyn-Mayer
Little Women,1949-03-10,Loew's Inc.
Adventures of Don Juan,1948-12-24,Warner Bros.
Saraband for Dead Lovers,1948-10-04,Ealing Studios
Saraband for Dead Lovers,1948-10-04,General Film Distributors
Prince of Foxes,1949-12-23,20th Century Fox
She Wore a Yellow Ribbon,1949-07-26,RKO Radio Pictures
The Barkleys of Broadway,1949-05-04,Metro-Goldwyn-Mayer
Sand,1949-06-28,20th Century Fox
Mother Is a Freshman,1949-03-12,20th Century Fox
The Window,1949-05-17,RKO Radio Pictures
Mighty Joe Young,1949-07-13,Argosy Pictures
Mighty Joe Young,1949-07-13,RKO Radio Pictures
Tulsa,1949-04-13,Eagle-Lion films
All About Eve,1950-10-13,20th Century-Fox
Born Yesterday,1950-12-25,Columbia Pictures
Father of the Bride,1950-05-18,Metro-Goldwyn-Mayer
Father of the Bride,1950-05-18,"Loew's, Inc."
King Solomon's Mines,1950-11-09,Metro-Goldwyn-Mayer
King Solomon's Mines,1950-11-09,"Loew's, Inc"
Sunset Boulevard,1950-08-10,Paramount Pictures
The Asphalt Jungle,1950-05-12,Metro-Goldwyn-Mayer
The Asphalt Jungle,1950-05-12,Loew's Inc.
The Third Man,1949-09-01,London Films
The Third Man,1949-09-01,British Lion Film Corporation
The Third Man,1949-09-01,Selznick Releasing Organization
Cyrano de Bergerac,1950-11-16,United Artists
The Magnificent Yankee,1950-01-01,Metro-Goldwyn-Mayer
Harvey,1950-12-04,Universal Pictures
Caged,1950-05-19,Warner Bros.
Broken Arrow,1950-07-20,20th Century Fox
Mister 880,1950-09-29,20th Century Fox
Adam's Rib,1949-11-18,Metro-Goldwyn-Mayer
Adam's Rib,1949-11-18,Loew's Inc.
The Men,1950-07-20,United Artists
No Way Out,1950-08-17,20th Century Fox
Panic in the Streets,1950-09-15,20th Century Fox
Bitter Rice,1949-09-07,Lux Film
The Gunfighter,1950-06-23,20th Century Fox
Mystery Street,1950-07-28,Metro-Goldwyn-Mayer
When Willie Comes Marching Home,1950-02-17,20th Century Fox
With These Hands,1950-06-15,International Ladies Garment Workers Union
Why Korea?,1950-01-01,Movietone News
Why Korea?,1950-01-01,20th Century Fox
The Fight: Science Against Cancer,1950-01-01,National Film Board of Canada
The Fight: Science Against Cancer,1950-01-01,Association of American Medical Colleges
The Stairs,1950-01-01,South Carolina
Grandad of Races,1950-09-02,Warner Bros.
Blaze Busters,1950-12-30,Warner Bros. Pictures
In Beaver Valley,1950-07-19,Walt Disney Productions
In Beaver Valley,1950-07-19,RKO Radio Pictures
Gerald McBoing-Boing,1950-11-02,United Productions of America
Gerald McBoing-Boing,1950-11-02,Columbia Pictures
The Flame and the Arrow,1950-07-09,Norma Productions
The Flame and the Arrow,1950-07-09,Frank Ross Productions
The Flame and the Arrow,1950-07-09,Warner Bros.
No Sad Songs for Me,1950-04-28,Columbia Pictures
Samson and Delilah,1949-12-21,Paramount Pictures
Annie Get Your Gun,1950-05-17,Metro-Goldwyn-Mayer
Annie Get Your Gun,1950-05-17,"Loew's, Inc."
Cinderella,1950-02-22,Walt Disney Productions
Cinderella,1950-02-22,RKO Radio Pictures
I'll Get By,1950-10-02,20th Century Fox
Three Little Words,1950-07-12,Metro-Goldwyn-Mayer
Three Little Words,1950-07-12,"Loew's, Inc."
The West Point Story,1950-12-22,Warner Bros.
"Captain Carey, U.S.A.",1950-02-21,Paramount Pictures
The Toast of New Orleans,1950-09-19,Metro Goldwyn Mayer
The Toast of New Orleans,1950-09-19,Loew's Inc.
Singing Guns,1950-02-28,Republic Pictures
Wabash Avenue,1950-03-31,20th Century Fox
Louisa,1950-05-31,Universal Pictures
Our Very Own,1950-07-27,Samuel Goldwyn Productions
Our Very Own,1950-07-27,RKO Radio Pictures
Trio,1950-08-01,Gainsborough Pictures
Trio,1950-08-01,Rank Organisation
Trio,1950-08-01,General Film Distributors
Trio,1950-08-01,Paramount Pictures
The Red Danube,1949-10-14,Metro-Goldwyn-Mayer
The Red Danube,1949-10-14,"Loew's, Inc."
Destination Moon,1950-06-27,Walter Lantz Productions
Destination Moon,1950-06-27,Eagle-Lion Classics
The Furies,1950-07-21,Paramount Pictures
The Black Rose,1950-09-07,20th Century Fox
That Forsyte Woman,1949-11-03,Metro-Goldwyn-Mayer
An American in Paris,1951-10-04,Metro-Goldwyn-Mayer
An American in Paris,1951-10-04,Loew's Inc.
Decision Before Dawn,1951-12-21,20th Century-Fox
A Place in the Sun,1951-04-05,Paramount Pictures
Quo Vadis,1951-11-02,Metro-Goldwyn-Mayer
Quo Vadis,1951-11-02,"Loew's, Inc."
A Streetcar Named Desire,1951-09-19,Warner Bros. Pictures
The African Queen,1951-12-26,Horizon Pictures
The African Queen,1951-12-26,Romulus Films
The African Queen,1951-12-26,United Artists
Detective Story,1951-11-06,Paramount Pictures
Bright Victory,1951-08-01,Universal Pictures
Death of a Salesman,1951-12-20,Columbia Pictures
The Blue Veil,1951-09-05,RKO Radio Pictures
Come Fill the Cup,1951-10-24,Warner Bros.
The Mating Season,1951-01-12,Paramount Pictures
Ace in the Hole,1951-06-14,Paramount Pictures
David and Bathsheba,1951-08-14,20th Century Fox
Go For Broke!,1951-05-24,Metro-Goldwyn-Mayer
The Well,1951-09-10,United Artists
Seven Days to Noon,1950-10-30,London Film Productions
Seven Days to Noon,1950-10-30,British Lion Films
Bullfighter and the Lady,1951-04-26,Republic Pictures
The Frogmen,1951-06-29,20th Century Fox
Here Comes the Groom,1951-09-20,Paramount Pictures
Teresa,1951-04-05,Metro-Goldwyn-Mayer
Teresa,1951-04-05,Loew's Inc.
Kon-Tiki,1950-01-13,Artfilm
Kon-Tiki,1950-01-13,Sandrew
I Was a Communist for the FBI,1951-05-02,Warner Bros.
Benjy,1951-01-01,Paramount Pictures
One Who Came Back,1951-01-01,Disabled American Veterans
One Who Came Back,1951-01-01,Motion Picture Association of America
The Seeing Eye,1951-12-01,Warner Bros.
World of Kids,1951-06-23,Warner Bros.
Nature's Half Acre,1951-07-28,Walt Disney Productions
Nature's Half Acre,1951-07-28,RKO Radio Pictures
The Two Mouseketeers,1952-03-15,MGM Cartoons
The Two Mouseketeers,1952-03-15,Metro-Goldwyn-Mayer
Lambert the Sheepish Lion,1952-02-08,Walt Disney Productions
Lambert the Sheepish Lion,1952-02-08,RKO Radio Pictures
Rooty Toot Toot,1951-11-15,United Productions of America
Rooty Toot Toot,1951-11-15,Columbia Pictures
Alice in Wonderland,1951-07-26,Walt Disney Productions
Alice in Wonderland,1951-07-26,RKO Radio Pictures
The Great Caruso,1951-04-27,Metro-Goldwyn-Mayer
The Great Caruso,1951-04-27,Loew's Inc.
On the Riviera,1951-04-20,20th Century Fox
Show Boat,1951-07-17,Metro-Goldwyn-Mayer
Show Boat,1951-07-17,"Loew's, Inc."
The Strip,1951-08-31,Metro-Goldwyn-Mayer
The Strip,1951-08-31,"Loew's, Inc"
Golden Girl,1951-11-01,20th Century Fox
Royal Wedding,1951-03-08,Metro-Goldwyn-Mayer
Royal Wedding,1951-03-08,"Loew's, Inc."
"Rich, Young and Pretty",1951-07-24,Metro-Goldwyn-Mayer
"Rich, Young and Pretty",1951-07-24,"Loew's, Inc."
I Want You,1951-12-22,Samuel Goldwyn Productions
I Want You,1951-12-22,RKO Radio Pictures
Two Tickets to Broadway,1951-11-20,RKO Radio Pictures
Fourteen Hours,1951-03-06,Twentieth Century-Fox
House on Telegraph Hill,1951-05-12,20th Century Fox
Too Young to Kiss,1951-11-22,Metro-Goldwyn-Mayer
Too Young to Kiss,1951-11-22,Loew's Inc.
The Tales of Hoffmann,1951-04-04,London Films
The Tales of Hoffmann,1951-04-04,The Archers
The Tales of Hoffmann,1951-04-04,British Lion Films
Strangers on a Train,1951-06-30,Transatlantic Pictures
Strangers on a Train,1951-06-30,Warner Bros.
When Worlds Collide,1951-11-15,Paramount Pictures
Kind Lady,1951-06-20,Metro-Goldwyn-Mayer
Kind Lady,1951-06-20,Loew's Inc.
The Model and the Marriage Broker,1951-11-01,20th Century-Fox
The Mudlark,1950-10-30,20th Century Fox
The Greatest Show on Earth,1952-01-10,Paramount Pictures
High Noon,1952-07-24,United Artists
Ivanhoe,1952-07-31,Metro-Goldwyn-Mayer
Ivanhoe,1952-07-31,Loew's Inc.
Moulin Rouge,1952-12-23,Romulus Films
Moulin Rouge,1952-12-23,British Lion Films
The Quiet Man,1952-06-06,Republic Pictures
The Quiet Man,1952-06-06,Argosy Pictures
5 Fingers,1952-03-07,20th Century Fox
Viva Zapata!,1952-02-13,20th Century Fox
The Bad and the Beautiful,1952-12-25,Metro-Goldwyn-Mayer
The Bad and the Beautiful,1952-12-25,Loew's Inc.
The Lavender Hill Mob,1951-06-28,Ealing Studios
The Lavender Hill Mob,1951-06-28,General Film Distributors
"Come Back, Little Sheba",1952-12-23,Paramount Pictures
Sudden Fear,1952-08-07,RKO Radio Pictures
The Star,1952-12-11,20th Century Fox
The Member of the Wedding,1952-12-25,Columbia Pictures
With a Song in My Heart,1952-04-04,20th Century Fox
My Cousin Rachel,1952-12-25,20th Century Fox
The Big Sky,1952-07-29,RKO Radio Pictures
Singin' in the Rain,1952-03-27,Metro-Goldwyn-Mayer
Singin' in the Rain,1952-03-27,Loew's Inc.
The Man in the White Suit,1951-08-10,Ealing Studios
The Man in the White Suit,1951-08-10,General Film Distributors
The Atomic City,1952-05-01,Paramount Pictures
The Sound Barrier,1952-07-22,London Film Productions
The Sound Barrier,1952-07-22,British Lion Films
Pat and Mike,1952-06-14,Metro-Goldwyn-Mayer
Pat and Mike,1952-06-14,Loew's Inc.
My Son John,1952-04-08,Paramount Pictures
The Narrow Margin,1952-05-02,RKO Pictures
The Pride of St. Louis,1952-05-02,20th Century-Fox
The Sniper,1952-05-09,Columbia Pictures
The Sea Around Us,1953-07-07,Irwin Allen Productions
The Sea Around Us,1953-07-07,RKO Radio Pictures
The Hoaxters,1952-12-05,Metro-Goldwyn-Mayer
Navajo,1952-02-12,Lippert Pictures
Neighbours (Voisins),1952-01-01,National Film Board of Canada
Devil Take Us,1952-01-01,RKO Pictures
Man Alive!,1952-01-01,United Productions of America
Man Alive!,1952-01-01,American Cancer Society
Light in the Window,1952-09-01,Twentieth Century Fox
Water Birds,1952-07-14,Walt Disney Productions
Water Birds,1952-07-14,RKO Radio Pictures
Bridge of Time,1950-07-01,London Film Productions
Johann Mouse,1953-03-21,MGM Cartoons
Johann Mouse,1953-03-21,Metro-Goldwyn-Mayer
Little Johnny Jet,1953-04-18,MGM cartoon studio
Little Johnny Jet,1953-04-18,Metro-Goldwyn-Mayer
The Romance of Transportation in Canada,1952-01-01,National Film Board of Canada
The Miracle of Our Lady of Fatima,1952-08-20,Warner Bros.
The Thief,1952-10-10,United Artists
Hans Christian Andersen,1952-11-25,Samuel Goldwyn Productions
Hans Christian Andersen,1952-11-25,RKO Radio Pictures
The Jazz Singer,1952-12-30,Warner Bros.
The Medium,1951-09-05,Lopert Pictures
Son of Paleface,1952-07-14,Paramount Pictures
Because You're Mine,1952-09-25,Metro-Goldwyn-Mayer
Because You're Mine,1952-09-25,Loew's Inc.
Just for You,1952-08-21,Paramount Pictures
The Card,1952-02-25,General Film Distributors
Carrie,1952-07-17,Paramount Pictures
Rashomon,1950-08-25,Daiei Film
The Merry Widow,1952-09-05,Metro-Goldwyn-Mayer
The Merry Widow,1952-09-05,Loew's Inc.
The Snows of Kilimanjaro,1952-09-17,Twentieth Century Fox
Million Dollar Mermaid,1952-12-04,Metro-Goldwyn-Mayer
Million Dollar Mermaid,1952-12-04,Loew's Inc.
Affair in Trinidad,1952-07-29,Columbia Pictures
Flat Top,1952-10-26,Monogram Pictures
From Here to Eternity,1953-08-05,Columbia Pictures
Julius Caesar,1953-06-03,Metro-Goldwyn-Mayer
Julius Caesar,1953-06-03,"Loew's, Inc."
The Robe,1953-09-16,20th Century Fox
Roman Holiday,1953-08-20,Paramount Pictures
Shane,1953-04-23,Paramount Pictures
Lili,1953-03-10,Metro-Goldwyn-Mayer
Lili,1953-03-10,"Loew's, Inc."
Stalag 17,1953-05-29,Paramount Pictures
Mogambo,1953-10-09,Metro-Goldwyn-Mayer
Mogambo,1953-10-09,"Loew's, Inc."
The Moon Is Blue,1953-06-22,United Artists
Hondo,1953-11-27,Wayne-Fellows Productions
Hondo,1953-11-27,Warner Bros.
Torch Song,1953-10-23,Metro-Goldwyn-Mayer
Torch Song,1953-10-23,"Loew's, Inc."
Pickup on South Street,1953-05-27,20th Century-Fox
The Cruel Sea,1953-03-24,Ealing Studios
The Cruel Sea,1953-03-24,GDF
The Cruel Sea,1953-03-24,Universal-International
Titanic,1953-04-18,20th Century Fox
The Band Wagon,1953-07-09,Metro-Goldwyn-Mayer
The Band Wagon,1953-07-09,"Loew's, Inc"
The Desert Rats,1953-05-20,20th Century Fox
The Naked Spur,1953-02-01,Metro-Goldwyn-Mayer
The Naked Spur,1953-02-01,"Loew's, Inc"
Take the High Ground!,1953-10-30,Metro-Goldwyn-Mayer
Above and Beyond,1952-11-21,Metro-Goldwyn-Mayer
Above and Beyond,1952-11-21,Loew's Inc.
The Captain's Paradise,1953-06-09,London Films
The Captain's Paradise,1953-06-09,British Lion Films
Little Fugitive,1953-09-02,Joseph Burstyn Inc.
The Living Desert,1953-11-09,Walt Disney Productions
The Living Desert,1953-11-09,Buena Vista Distribution
The Conquest of Everest,1953-12-07,Group 3
The Conquest of Everest,1953-12-07,British Lion Film Corporation
A Queen Is Crowned,1953-06-02,The Rank Organisation
A Queen Is Crowned,1953-06-02,General Film Distributors
The Alaskan Eskimo,1953-02-18,Walt Disney Productions
The Alaskan Eskimo,1953-02-18,RKO Radio Pictures
The Living City,1953-01-01,Encyclop?dia Britannica Films
The Living City,1953-01-01,Twentieth Century Fund
Operation Blue Jay,1953-01-01,United States Army Signal Corps
They Planted a Stone,1953-01-01,World Wide Pictures
They Planted a Stone,1953-01-01,Central Office of Information
The Word,1953-01-01,Twentieth Century-Fox Film Corporation
Overture to The Merry Wives of Windsor,1953-01-01,MGM
Herring Hunt,1953-01-01,National Film Board of Canada
Bear Country,1953-02-05,Walt Disney Productions
Bear Country,1953-02-05,RKO Radio Pictures
Ben and Me,1953-11-10,Walt Disney Productions
Ben and Me,1953-11-10,Buena Vista Film Distribution
Return to Glennascaul,1951-01-01,Dublin Gate Theatre Productions
Return to Glennascaul,1951-01-01,Arthur Mayer
Return to Glennascaul,1951-01-01,Edward Kingsley
"Toot, Whistle, Plunk, and Boom",1953-11-10,Walt Disney Productions
"Toot, Whistle, Plunk, and Boom",1953-11-10,Buena Vista Distribution
From A to Z-Z-Z-Z,1954-10-06,Warner Bros. Cartoons
From A to Z-Z-Z-Z,1954-10-06,Warner Bros. Pictures
Rugged Bear,1953-10-23,Walt Disney Productions
Rugged Bear,1953-10-23,RKO Radio Pictures
The Tell-Tale Heart,1953-12-17,United Productions of America
The Tell-Tale Heart,1953-12-17,Columbia Pictures
This Is Cinerama,1952-09-30,Cinerama Releasing Corporation
Call Me Madam,1953-03-04,20th Century Fox
"The 5,000 Fingers of Dr. T.",1953-07-01,A Stanley Kramer Company Production
"The 5,000 Fingers of Dr. T.",1953-07-01,Columbia Pictures Corporation
"The 5,000 Fingers of Dr. T.",1953-07-01,Columbia Pictures
Calamity Jane,1953-11-04,Warner Bros.
Kiss Me Kate,1953-10-15,Metro-Goldwyn-Mayer
Kiss Me Kate,1953-10-15,Loew's Inc.
Small Town Girl,1953-04-10,Metro-Goldwyn-Mayer
Small Town Girl,1953-04-10,Loew's Inc.
Miss Sadie Thompson,1953-12-23,Columbia Pictures
The Caddy,1953-08-10,Paramount Pictures
Knights of the Round Table,1953-12-22,Metro Goldwyn Mayer
The Mississippi Gambler,1953-01-13,Universal Pictures
The War of the Worlds,1953-04-03,Paramount Pictures
The President's Lady,1953-05-21,20th Century Fox
The Story of Three Loves,1953-03-26,Metro-Goldwyn-Mayer
Young Bess,1953-05-21,Metro-Goldwyn-Mayer
Young Bess,1953-05-21,Loew's Inc.
The Four Poster,1952-10-08,Columbia Pictures
All the Brothers Were Valiant,1953-11-13,Metro-Goldwyn-Mayer
All the Brothers Were Valiant,1953-11-13,Loew's Inc.
Beneath the 12-Mile Reef,1953-12-02,20th Century Fox
The Actress,1953-09-25,Metro-Goldwyn-Mayer
The Actress,1953-09-25,Loew's Inc.
Dream Wife,1953-06-19,Metro-Goldwyn-Mayer
How to Marry a Millionaire,1953-11-05,20th Century-Fox
Crazylegs,1953-11-15,Republic Pictures
On the Waterfront,1954-07-28,Horizon Pictures
On the Waterfront,1954-07-28,Columbia Pictures
The Caine Mutiny,1954-06-24,Columbia Pictures
The Country Girl,1954-12-11,Paramount Pictures
Seven Brides for Seven Brothers,1954-07-15,Metro-Goldwyn-Mayer
Seven Brides for Seven Brothers,1954-07-15,"Loew's, Inc."
Three Coins in the Fountain,1954-05-20,20th Century Fox
The High and the Mighty,1954-05-27,Wayne-Fellows Productions
The High and the Mighty,1954-05-27,Warner Bros.
Rear Window,1954-08-04,Paramount Pictures
Sabrina,1954-09-03,Paramount Pictures
A Star Is Born,1954-09-29,Warner Bros
Robinson Crusoe,1954-08-05,United Artists
