Title,ReleaseDate,ProductionCompany
Holiday,1930-07-03,Path? Exchange
The Dawn Patrol,1930-07-10,First National Pictures
The Doorway to Hell,1930-10-18,"Warner Bros. Pictures, Inc."
Laughter,1930-09-25,Paramount Pictures
The Public Enemy,1931-04-23,Warner Bros. Pictures
Smart Money,1931-07-11,Warner Bros.
The Criminal Code,1931-01-03,Columbia Pictures
Little Caesar,1931-01-09,First National Pictures
Little Caesar,1931-01-09,Warner Bros. Pictures
Just Imagine,1930-11-23,Fox Film Corporation
Whoopee,1930-09-30,Samuel Goldwyn Productions
Whoopee,1930-09-30,United Artists
Tabu: A Story of the South Seas,1931-03-18,Paramount Pictures
The Right to Love,1930-12-27,Paramount Pictures
Grand Hotel,1932-04-12,Metro-Goldwyn-Mayer
Grand Hotel,1932-04-12,"Loew's, Inc."
Arrowsmith,1931-12-07,Samuel Goldwyn Productions
Arrowsmith,1931-12-07,United Artists
Bad Girl,1931-08-14,Fox Film Corporation
The Champ,1931-11-09,Metro-Goldwyn-Mayer
Five Star Final,1931-09-26,First National Pictures
Five Star Final,1931-09-26,Warner Bros. Pictures
One Hour with You,1932-03-22,Paramount Pictures
Shanghai Express,1932-02-12,Paramount Pictures
The Smiling Lieutenant,1931-08-01,Paramount Pictures
Dr. Jekyll and Mr. Hyde,1931-12-24,Paramount Pictures
The Guardsman,1931-11-07,Metro-Goldwyn-Mayer
The Sin of Madelon Claudet,1931-10-24,Metro-Goldwyn-Mayer
Emma,1932-01-02,Metro-Goldwyn-Mayer
Lady and Gent,1932-07-15,Paramount Pictures
The Star Witness,1931-08-22,Warner Bros. Pictures
What Price Hollywood?,1932-06-02,RKO Path?
Transatlantic,1931-08-30,Fox Film Corporation
? nous la libert?,1931-12-18,Films Sonores Tobis
? nous la libert?,1931-12-18,Joseph Burstyn
Flowers and Trees,1932-07-30,Walt Disney Productions
Flowers and Trees,1932-07-30,United Artists
It's Got Me Again! (1932),1932-05-14,Harman-Ising Productions
It's Got Me Again! (1932),1932-05-14,Warner Bros. Pictures
It's Got Me Again! (1932),1932-05-14,The Vitaphone Corporation
Mickey's Orphans,1931-12-05,Walt Disney Productions
Mickey's Orphans,1931-12-05,Columbia Pictures
The Music Box,1932-04-16,Metro-Goldwyn-Mayer
Scratch-As-Catch-Can,1932-11-06,RKO Pictures
Wrestling Swordfish,1931-11-08,Educational Film Exchanges
Screen Souvenirs,1932-01-01,Paramount Pictures
Swing High,1932-11-12,MGM
Cavalcade,1933-04-15,Fox Film Corporation
42nd Street,1933-03-09,Warner Bros.
A Farewell to Arms,1932-12-08,Paramount Pictures
A Farewell to Arms,1932-12-08,Warner Bros. Pictures
I Am a Fugitive from a Chain Gang,1932-11-10,The Vitaphone Corporation
I Am a Fugitive from a Chain Gang,1932-11-10,Warner Bros.
Lady for a Day,1933-09-13,Columbia Pictures
Little Women,1933-11-16,RKO Radio Pictures
The Private Life of Henry VIII,1933-08-17,London Film Productions
The Private Life of Henry VIII,1933-08-17,United Artists
She Done Him Wrong,1933-01-27,Paramount Pictures
Smilin' Through,1932-09-24,Metro-Goldwyn-Mayer
State Fair,1933-02-10,Fox Film Corporation
Berkeley Square,1933-09-13,Fox Film Corporation
Morning Glory,1933-08-18,RKO Radio Pictures
One Way Passage,1932-10-22,Warner Bros.
The Prizefighter and the Lady,1933-11-10,MGM
Rasputin and the Empress,1932-12-23,Metro-Goldwyn-Mayer
Rasputin and the Empress,1932-12-23,Loew's Inc.
When Ladies Meet,1933-06-23,Metro-Goldwyn-Mayer
When Ladies Meet,1933-06-23,Loew's Inc.
Reunion in Vienna,1933-06-16,Metro-Goldwyn-Mayer
The Sign of the Cross,1932-11-30,Paramount Pictures
So This Is Harris,1933-08-13,RKO Radio Pictures
Mister Mugg,1933-05-10,Universal Pictures
A Preferred List,1933-01-01,Columbia Pictures
Krakatoa,1933-04-23,Educational Pictures
Krakatoa,1933-04-23,Fox Film Corporation
Menu,1933-09-23,Metro-Goldwyn-Mayer
Three Little Pigs,1933-05-25,Walt Disney Productions
Three Little Pigs,1933-05-25,United Artists
Building a Building,1933-01-07,Walt Disney Productions
Building a Building,1933-01-07,United Artists
The Merry Old Soul,1933-11-27,Walter Lantz Productions
The Merry Old Soul,1933-11-27,Universal Pictures
Gold Diggers of 1933,1933-05-27,Warner Bros.
It Happened One Night,1934-02-22,Columbia Pictures
The Barretts of Wimpole Street,1934-09-14,Metro-Goldwyn-Mayer
Cleopatra,1934-08-16,Paramount Pictures
Flirtation Walk,1934-12-01,Warner Bros.
The Gay Divorcee,1934-10-19,RKO Radio Pictures
Here Comes the Navy,1934-07-21,Warner Bros. Pictures
The House of Rothschild,1934-04-07,Twentieth Century Pictures
The House of Rothschild,1934-04-07,United Artists
Imitation of Life,1934-11-26,Universal Pictures
One Night of Love,1934-09-05,Columbia Pictures
The Thin Man,1934-05-25,Metro-Goldwyn-Mayer
The Thin Man,1934-05-25,Loew's Inc.
Viva Villa!,1934-04-10,Metro-Goldwyn-Mayer
The White Parade,1934-11-16,Fox Film Corporation
The Affairs of Cellini,1934-08-24,Twentieth Century Pictures
The Affairs of Cellini,1934-08-24,United Artists
Of Human Bondage,1934-06-28,RKO Radio Pictures
Manhattan Melodrama,1934-05-04,Metro-Goldwyn-Mayer
Manhattan Melodrama,1934-05-04,Loew's Inc.
Hide-Out,1934-08-24,Metro Goldwyn Mayer
The Richest Girl in the World,1934-09-21,RKO Radio Pictures
La Cucaracha,1934-08-31,Pioneer Pictures
La Cucaracha,1934-08-31,RKO Radio Pictures
Men in Black,1934-09-28,Columbia Pictures
"What, No Men?",1934-01-05,Warner Bros.
"What, No Men?",1934-01-05,Vitaphone
City of Wax,1934-02-09,Fox Film Corporation
Bosom Friends,1934-01-01,Educational Films Corporation of America
Bosom Friends,1934-01-01,Fox Film
Strikes and Spares,1934-10-20,MGM
The Tortoise and the Hare,1935-01-05,Walt Disney Productions
The Tortoise and the Hare,1935-01-05,United Artists
Holiday Land,1934-11-09,Screen Gems
Holiday Land,1934-11-09,Columbia Pictures
Jolly Little Elves,1934-10-01,Walter Lantz Productions
Jolly Little Elves,1934-10-01,Universal Pictures
The Lost Patrol,1934-02-16,RKO Radio Pictures
Flying Down to Rio,1933-12-21,RKO Radio Pictures
She Loves Me Not,1934-08-31,Paramount Pictures
The Merry Widow,1934-10-11,Metro-Goldwyn-Mayer
The Merry Widow,1934-10-11,Loew's Inc.
Operator 13,1934-06-08,Metro-Goldwyn-Mayer
Eskimo,1933-11-14,Metro-Goldwyn-Mayer
Mutiny on the Bounty,1935-11-08,Metro-Goldwyn-Mayer
Alice Adams,1935-08-15,RKO Radio Pictures
Broadway Melody of 1936,1935-09-20,Metro-Goldwyn-Mayer
Broadway Melody of 1936,1935-09-20,"Loew's, Inc."
Captain Blood,1935-12-28,Cosmopolitan Productions
Captain Blood,1935-12-28,"Warner Bros. Pictures, Inc."
David Copperfield,1935-01-18,Metro-Goldwyn-Mayer
David Copperfield,1935-01-18,Loew's Inc.
The Informer,1935-05-09,RKO Radio Pictures
The Lives of a Bengal Lancer,1935-01-11,Paramount Pictures
A Midsummer Night's Dream,1935-10-30,Warner Bros. Pictures
Les Mis?rables,1935-04-20,Twentieth Century Pictures
Les Mis?rables,1935-04-20,United Artists
Naughty Marietta,1935-03-08,Metro-Goldwyn-Mayer
Naughty Marietta,1935-03-08,"Loew's, Inc."
Ruggles of Red Gap,1935-03-08,Paramount Pictures
Top Hat,1935-08-29,RKO Radio Pictures
Black Fury,1935-05-18,Warner Bros.
Dangerous,1935-12-25,Warner Bros.
Escape Me Never,1935-04-01,British & Dominions
Escape Me Never,1935-04-01,United Artists
Private Worlds,1935-04-19,Paramount Pictures
Becky Sharp,1935-06-13,Pioneer Pictures
Becky Sharp,1935-06-13,RKO Radio Pictures
The Dark Angel,1935-09-08,Samuel Goldwyn Productions
The Dark Angel,1935-09-08,United Artists
The Scoundrel,1935-04-30,Paramount Pictures
G Men,1935-04-18,Warner Bros. Pictures
The Gay Deception,1935-09-13,Fox Film Corporation
The Gay Deception,1935-09-13,20th Century Fox
How to Sleep,1935-09-14,MGM
"Oh, My Nerves",1935-10-17,Columbia Pictures
Tit for Tat,1935-01-05,Metro-Goldwyn-Mayer
Wings over Everest,1934-06-01,Gaumont-British
Audioscopiks,1935-12-26,Metro-Goldwyn-Mayer
Camera Thrills,1935-09-01,Universal Pictures
Three Orphan Kittens,1935-10-26,Walt Disney Productions
Three Orphan Kittens,1935-10-26,United Artists
Who Killed Cock Robin?,1935-06-26,Walt Disney Productions
Who Killed Cock Robin?,1935-06-26,United Artists
Peter Ibbetson,1935-10-31,Paramount Pictures
Gold Diggers of 1935,1935-03-16,Warner Bros.
Roberta,1935-03-08,RKO Radio Pictures
Bride of Frankenstein,1935-04-19,Universal Pictures
I Dream Too Much,1935-11-27,RKO Radio Pictures
Love Me Forever,1935-06-28,Columbia Pictures
Thanks a Million,1935-10-25,Twentieth Century Pictures
Thanks a Million,1935-10-25,20th Century Fox
Barbary Coast,1935-10-13,Samuel Goldwyn Productions
Barbary Coast,1935-10-13,United Artists
The Crusades,1935-08-21,Paramount Pictures
All the King's Horses,1935-02-13,Paramount Pictures
Broadway Hostess,1935-12-07,First National Pictures
Broadway Hostess,1935-12-07,Warner Bros.
King of Burlesque,1936-01-03,20th Century Fox
She,1935-07-12,RKO Radio Pictures
The Great Ziegfeld,1936-03-22,Metro-Goldwyn-Mayer
The Great Ziegfeld,1936-03-22,Loew's Inc.
Anthony Adverse,1936-07-29,Warner Bros. Pictures
Dodsworth,1936-09-23,Samuel Goldwyn Productions
Dodsworth,1936-09-23,United Artists
Libeled Lady,1936-10-09,Metro-Goldwyn-Mayer
Libeled Lady,1936-10-09,Loew's Inc.
Mr. Deeds Goes to Town,1936-04-12,Columbia Pictures Corp. of Calif. LTD.
Mr. Deeds Goes to Town,1936-04-12,Columbia Pictures Corporation
Romeo and Juliet,1936-08-20,Metro-Goldwyn-Mayer
Romeo and Juliet,1936-08-20,Loew's Inc.
San Francisco,1936-06-26,Metro-Goldwyn-Mayer
San Francisco,1936-06-26,Loew's Inc.
The Story of Louis Pasteur,1936-02-22,Warner Bros.
A Tale of Two Cities,1935-12-27,Metro-Goldwyn-Mayer
A Tale of Two Cities,1935-12-27,"Loew's, Inc"
Three Smart Girls,1936-12-20,Universal Pictures
My Man Godfrey,1936-09-06,Universal Pictures
Theodora Goes Wild,1936-11-12,Columbia Pictures
Valiant Is the Word for Carrie,1936-10-02,Paramount Pictures
Come and Get It,1936-11-06,Samuel Goldwyn Productions
Come and Get It,1936-11-06,United Artists
Pigskin Parade,1936-10-23,20th Century Fox
The General Died at Dawn,1936-09-02,Paramount Pictures
The Gorgeous Hussy,1936-08-28,Metro-Goldwyn-Mayer
These Three,1936-03-18,Samuel Goldwyn Productions
These Three,1936-03-18,United Artists
Fury,1936-06-05,Metro-Goldwyn-Mayer
After the Thin Man,1936-12-25,Metro-Goldwyn-Mayer
After the Thin Man,1936-12-25,Loew's Inc.
Bored of Education,1936-08-20,Metro-Goldwyn-Mayer
Moscow Moods,1936-01-01,Paramount Pictures
Wanted - A Master,1936-12-01,MGM
The Public Pays,1936-10-10,MGM
Double or Nothing,1936-01-18,Warner Bros.
Dummy Ache,1936-07-10,RKO Pictures
La Fiesta de Santa Barbara,1935-12-07,Metro-Goldwyn-Mayer
The Country Cousin,1936-10-31,Walt Disney Productions
The Country Cousin,1936-10-31,United Artists
The Old Mill Pond,1936-03-07,Harman-Ising Productions
The Old Mill Pond,1936-03-07,Metro-Goldwyn-Mayer
Popeye the Sailor Meets Sindbad the Sailor,1936-11-27,Fleischer Studios
Popeye the Sailor Meets Sindbad the Sailor,1936-11-27,Paramount Pictures
The Charge of the Light Brigade,1936-10-20,Warner Bros. Pictures
The Garden of Allah,1936-11-19,Selznick International Pictures
The Garden of Allah,1936-11-19,United Artists
Winterset,1936-11-20,RKO Radio Pictures
Swing Time,1936-08-27,RKO Radio Pictures
Suzy,1936-07-20,Metro-Goldwyn-Mayer
Born to Dance,1936-11-27,Metro-Goldwyn-Mayer
Born to Dance,1936-11-27,Loew's Inc.
The Trail of the Lonesome Pine,1936-03-13,Paramount Pictures
